projectID,projectStatus,priority,projectType,projectSite,contactName,contactPhone,projectDetail,siteDetail,hasDetail,createDate,updateDate,deleteStatus
1,1,2,2,1,update,13811111111,投影坏了。,图文315,1,53:25.1,20:24.1,1
2,2,0,3,2,Chapman,13901201007,空调温度太低。,10#529,1,56:20.9,56:22.8,1
3,1,1,1,1,Scott,13902100917,无法投屏。,图文319,1,58:43.6,49:50.0,1
4,3,0,3,1,Michelle,13811011023,桌子腿断了。,4#518,1,02:04.3,34:30.2,1
5,1,0,1,1,Gavin,18915203090,电脑蓝屏。,2#210,1,48:05.8,26:11.7,1
6,3,2,3,3,Vivian,13743902418,饮水机漏水。,10#317,1,25:55.8,21:32.2,1
7,3,0,2,1,,13959281514,教室顶灯时明时暗,4#418,1,09:34.9,49:47.6,1
8,1,0,1,2,王测,18910015019,电脑连不上校园网SBS,9#216,1,00:41.9,39:00.2,1
9,2,0,2,1,王试,17702165918,单杠松动,健身房,1,02:16.6,35:52.9,1
10,1,1,3,2,Bernard,17725514923,寝室连不上网,10#523,0,25:57.4,20:34.3,1
11,1,1,2,1,Ruby,15902860197,投影亮度不够，还有色偏。,2#317,1,37:26.8,06:32.7,1
12,1,2,3,2,Colin,1927715543,在哪里可以买到寝室路由器呢,10#428,1,01:50.9,44:02.8,1
13,1,0,2,2,,13901201007,椅子腿断了。,10#529,1,54:46.1,34:52.3,1
