repairmanID,repairmanName,password,deleteStatus
1,Harriet,111111,1
2,Roberta,111111,1
3,Cynthia,111111,1
4,Jeffrey,111111,1
5,Geraldine,111111,1
6,Yehudi,111111,1
7,Perry,111111,1
8,Robert,111111,1
9,Veronica,111111,1
10,Norton,111111,1
11,Barnett,111111,1
12,Clare,111111,1
13,Ashley,111111,1
14,Jenny,111111,1
15,ta,111111,0
16,Franklin,111111,1
17,Yves,111111,1
18,Byron,111111,1
19,Dorothy,111111,1
20,Emma,111111,1
21,Sabina,111111,1
22,Florence,111111,1
23,Odelia,111111,1
24,Orville,111111,1
25,Nelson,111111,1
26,h,111111,0
27,aaa,111111,0
